Index,Fibonacci Number,Execution Time (seconds),Execution Time (nanoseconds)
182,74494587203909961,0.000000500000,500
183,-7527971884994975198,0.000000542000,542
184,-7453477297791065237,0.000000583000,583
185,3465294890923511181,0.000000541000,541
186,-3988182406867554056,0.000000542000,542
187,-522887515944042875,0.000000542000,542
188,-4511069922811596931,0.000000584000,584
189,-5033957438755639806,0.000000500000,500
190,8901716712142314879,0.000000542000,542
191,3867759273386675073,0.000000583000,583
192,-5677268088180561664,0.000000583000,583
193,-1809508814793886591,0.000000459000,459
194,-7486776902974448255,0.000000542000,542
195,9150458355941216770,0.000000459000,459
196,1663681452966768515,0.000000500000,500
197,-7632604264801566331,0.000000458000,458
198,-5968922811834797816,0.000000500000,500
199,4845216997073187469,0.000000583000,583
200,-1123705814761610347,0.000000417000,417
